Object layer (87) :

Object #0 (0x4002)
    type = 0 (Jill (normal))
    x = 64
    y = 928
    width = 16
    height = 32
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #1 (0x4021)
    type = 24 (Locked Door)
    x = 1712
    y = 432
    width = 16
    height = 24
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 1
    flags = 0
    info1 = 0
    pointer = 0
Object #2 (0x4040)
    type = 15 (Trigger: Touch Trigger)
    x = 1728
    y = 448
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 1
    flags = 0
    info1 = 0
    pointer = 0
Object #3 (0x405F)
    type = 19 (Misc: Cloud )
    x = 880
    y = 160
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #4 (0x407E)
    type = 19 (Misc: Cloud )
    x = 848
    y = 224
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #5 (0x409D)
    type = 19 (Misc: Cloud )
    x = 768
    y = 272
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #6 (0x40BC)
    type = 19 (Misc: Cloud )
    x = 656
    y = 288
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #7 (0x40DB)
    type = 19 (Misc: Cloud )
    x = 576
    y = 304
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #8 (0x40FA)
    type = 19 (Misc: Cloud )
    x = 496
    y = 288
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #9 (0x4119)
    type = 19 (Misc: Cloud )
    x = 368
    y = 272
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #10 (0x4138)
    type = 49 (Epic text)
    x = 1344
