Object layer (124) :

Object #0 (0x4002)
    type = 0 (Jill (normal))
    x = 112
    y = 160
    width = 16
    height = 32
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #1 (0x4021)
    type = 28 (Bonus (Hight jump, knif...))
    x = 1808
    y = 960
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 9
    flags = 0
    info1 = 0
    pointer = 0
Object #2 (0x4040)
    type = 1 (Apple)
    x = 1776
    y = 960
    width = 12
    height = 12
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #3 (0x405F)
    type = 65 (Sparks (monsters))
    x = 1792
    y = 912
    width = 16
    height = 8
    xSpeed = 0
    ySpeed = 2
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #4 (0x407E)
    type = 65 (Sparks (monsters))
    x = 1728
    y = 864
    width = 16
    height = 8
    xSpeed = 0
    ySpeed = 2
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #5 (0x409D)
    type = 65 (Sparks (monsters))
    x = 1968
    y = 752
    width = 16
    height = 8
    xSpeed = 0
    ySpeed = 2
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #6 (0x40BC)
    type = 65 (Sparks (monsters))
    x = 2000
    y = 640
    width = 16
    height = 8
    xSpeed = 0
    ySpeed = 2
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #7 (0x40DB)
    type = 1 (Apple)
    x = 1056
    y = 848
    width = 12
    height = 12
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #8 (0x40FA)
    type = 28 (Bonus (Hight jump, knif...))
    x = 944
    y = 928
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 8
    flags = 0
    info1 = 0
    pointer = 0
Object #9 (0x4119)
    type = 40 (Underwater Rock)
    x = 1552
    y = 912
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #10 (0x4138)
    type = 40 (Underwater Rock)
    x = 1984
    y = 928
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
    pointer = 0
Object #11 (0x4157)
    type = 40 (Underwater Rock)
    x = 1664
    y = 992
    width = 16
    height = 16
    xSpeed = 0
    ySpeed = 0
    state = 0
    subState = 0
    stateCount = 0
    counter = 0
    flags = 0
    info1 = 0
